"pestcode","pestdesc"
"ZECHC  ","BARNYARD GRASS OR WATER GRASS"
"ZECHU  ","JAPANESE MILLET"
"ZEMEA1 ","THREE CORNERED JACK - PRE EMERGENT"
"ZEMEAX ","THREE CORNERED JACK - SEEDLING"
"ZEPHD  ","CAUSTIC WEED"
"ZERAZ  ","LOVEGRASS - SEED"
"ZERO1  ","ERODIUM SPP. - SUPPRESSION"
"ZEROM  ","MUSKY CROWFOOT"
"ZEU2X  ","EUCALYPTUS - SEEDLING UP TO 2 M TALL"
"ZEUCH  ","MARRI"
"ZEUCX  ","ARGYLE APPLE"
"ZEULF  ","SILKY BROWNTOP"
"ZEUPEP ","SPURGE - EUPHORBIA SPP."
"ZEUPI  ","SUN SPURGE"
"ZEUPT  ","FALSE CAPER"
"ZFOEV  ","FENNEL"
"ZFTS   ","STICKY FLORESTINA"
"ZFUMD  ","DENSEFLOWER FUMITORY (RED)"
"ZFUMW  ","FUMITORY - WHITE"
"ZGMA   ","MATRICANS"
"ZGRA   ","GRAMINEAE WEEDS"
"ZHIRT  ","BARLEY YELLOW DWARF VIRUS"
"ZHOLLX ","YORKSHIRE FOG GRASS - SEEDLING"
"ZHORQ  ","BARLEY GRASS - SEED"
"ZHYDR  ","HYDRILLA"
"ZHYPR  ","CAT'S EAR OR FLATWEED"
"ZHYPX  ","CAT'S EAR OR FLATWEED - SEEDLING"
"ZIMPC  ","BLADY GRASS"
"ZINT   ","INHIBITS SPROUTING OF TUBERS"
"ZIPO3  ","CONVOLVULUS - SEEDLING"
"ZIPO4  ","BELLVINE - SEEDLING (IPOMOEA SPP.)"
"ZIPOHX ","RED CONVOLVULUS - SEEDLING"
"ZIPOT  ","PINK CONVOLVULUS"
"ZIPOU  ","COMMON MORNING GLORY"
"ZIPOX  ","BELLVINE - SEEDLING"
"ZLABP  ","LABLAB BEAN"
"ZLAC1  ","PRICKLY LETTUCE"
"ZLEP1  ","TEATREE"
"ZLEPA  ","COMMON PEPPERCRESS"
"ZLEPB  ","ARGENTINE PEPPERCRESS"
"ZLIN   ","TOADFLAX"
"ZLOL1  ","ANNUAL RYEGRASS - SUPPRESSION"
"ZLOLA  ","ANNUAL OR WIMMERA RYEGRASS - SUPPRESSION"
"ZLOLR  ","ANNUAL OR WIMMERA RYEGRASS"
"ZLOPS  ","SWAMP BOX"
"ZLUP1  ","LUPIN - SUPPRESSION"
"ZMAL1  ","SMALLFLOWER MALLOW"
"ZMAL2  ","SMALLFLOWER MALLOW - SEED"
"ZMEC1  ","PAPERBARK TEA TREE"
"ZMEDV  ","VOLUNTEER MEDIC"
"ZMEL1  ","WHITE CEDAR"
"ZMELM  ","CAPE HONEY FLOWER"
"ZMILK  ","HARD MILKWOOD"
"ZMIMG1 ","GIANT SENSITIVE PLANT"
"ZMIMPX ","COMMON SENSITIVE PLANT - SEEDLING"
"ZMIMQ  ","MIMOSA PIGRA"
"ZMIMX  ","MIMOSA INVISA - SEEDLING"
"ZNAST2 ","SERRATED TUSSOCK - PREVENTION"
"ZNCE   ","COTONEASTER"
"ZNEPG  ","NATIVE SENSITIVE PLANT"
"ZNYM   ","WATERLILY"
"ZONO2  ","ILLYRIAN THISTLE - SEEDLING"
"ZOPUS  ","COMMON PRICKLY PEAR"
"ZOXA   ","OXALIS SPP."
"ZOXA1  ","SHAMROCK"
"ZPAN1  ","GREEN PANIC"
"ZPAND  ","NATIVE MILLET"
"ZPASV1 ","WHITE PASSION VINE - SUPPRESSION"
"ZPENC  ","KIKUYU GRASS"
"ZPENV  ","FEATHERTOP"
"ZPER2  ","SMARTWEED - SEEDLING"
"ZPHAM  ","LESSER CANARY GRASS"
"ZPHV1  ","WILD GOOSEBERRY - SUPPRESSION OF"
"ZPHY   ","ANNUAL GOOSEBERRY"
"ZPHY61 ","ANNUAL GROUND CHERRY - SUPPRESSION"
"ZPHYLX ","PHYLLANTHUS - SEEDLING"
"ZPHYM  ","WILD OR PERENNIAL GOOSEBERRY"
"ZPHYPM ","WILD GOOSEBERRY - PHYSALIS MINIMA"
"ZPHYV  ","PRAIRIE GROUND CHERRY"
"ZPIC1  ","SOLDIER THISTLE - PRE EMERGENCE"
"ZPISS  ","WATER LETTUCE"
"ZPLAC  ","BUCK'S-HORN PLANTAIN"
"ZPLANL ","NARROW LEAF PLANTAIN"
"ZPOAS  ","SNOW GRASS"
"ZPOLY  ","WIREWEED OR KNOTWEED - SEEDLING"
"ZPOR   ","PIGWEED SPP."
"ZPOR2  ","PIGWEED (PORTULACA OLERACEA) - SEED"
"ZPROL  ","DEVIL'S-CLAW - PROBOSCIDEA LOUISIANICA"
"ZPRS   ","REMAINING PLANTS - SUPPRESSION"
"ZPV1   ","PEACH VINE - SUPPRESSION"
"ZRANR  ","CREEPING BUTTERCUP"
"ZRAPX  ","WILD RADISH - SEEDLING"
"ZRHY1  ","RED NATAL GRASS - SEED"
"ZRHYX  ","RED NATAL GRASS - SEEDLING"
"ZROMR  ","ONION OR GUILDFORD GRASS"
"ZROSR  ","SWEET BRIAR OR WILD ROSE"
"ZROTC  ","ITCH GRASS"
"ZRUM2  ","DOCK - SUPPRESSION"
"ZRUMS  ","RUMEX SPP."
"ZRUMZ  ","CURLED DOCK - SEEDLING"
"ZSAC   ","CANE RIPENING"
"ZSAG   ","PEARLWORT"
"ZSALM  ","SALVINIA"
"ZSCL2  ","GOATHEAD"
"ZSCOH  ","GOLDEN THISTLE"
"ZSET1  ","PALE PIGEON GRASS - SUPPRESSION"
"ZSETG  ","SLENDER PIGEON GRASS"
"ZSHEX  ","FIELD MADDER - SEEDLING"
"ZSIS4  ","MUSTARD - PRE EMERGENCE"
"ZSISQ  ","HEDGE OR WILD MUSTARD - SEED"
"ZSISY  ","INDIAN HEDGE MUSTARD - SEEDLING"
"ZSISZ  ","HEDGE OR WILD MUSTARD - SEEDLING"
"ZSNP   ","SPREADING NIGHT PHLOX"
"ZSOL2  ","POTATO HAULM"
"ZSOLF  ","QUENA"
"ZSOLP  ","JO-JO"
"ZSON   ","SOWTHISTLES"
"ZSONO  ","SOW OR MILK THISTLE"
"ZSOR1  ","SORGHUM - STUBBLE"
"ZSOR6  ","JOHNSON GRASS - SUPPRESSION"
"ZSPE   ","SPURRY"
"ZSPEY  ","SAND SPURRY - SEEDLING"
"ZSTA   ","BLUE SNAKEWEEDS"
"ZTHEQ  ","GRADER GRASS"
"ZTHET1 ","KANGAROO GRASS - SUPPRESSION"
"ZTHIX  ","THISTLE - SEEDLING"
"ZTITD  ","JAPANESE SUNFLOWER"
"ZTOXS  ","RHUS"
"ZTRI2  ","TRIDAX DAISY"
"ZTRI4  ","CLOVER - SEEDLING"
"ZTRIB  ","SUBTERRANEAN CLOVER"
"ZTRIC  ","BRUSH BOX"
"ZTRIY  ","WHITE CLOVER - SEEDLING"
"ZTUW   ","TULIP WEED"
"ZUROX  ","LIVERSEED GRASS - SEEDLING"
"ZURTU  ","STINGING OR DWARF NETTLE"
"ZURTX  ","NETTLE - SEEDLING"
"ZURTZ  ","STINGING OR DWARF NETTLE - SEEDLING"
"ZV1    ","MADEIRA VINE"
"ZVEA   ","WARD'S WEED"
"ZVENV  ","SUPPLEJACK"
"ZVERX  ","SPEEDWELL - SEEDLING"
"ZVWC   ","VOLUNTEER WHEAT - EXCLUDING CLEARFIELD"
"ZWCW   ","COCKWEED"
"ZWEE   ","WEED"
"ZWEED2 ","BROADLEAF WEEDS"
"WLM    ","LEAFMINER FLIES"
"WLO1   ","LOUSE - FELICOLA SPP."
"WLOLO  ","SHEEP FACE LOUSE"
"WLOLV  ","SUCKING LICE - LINOGNATHUS VITULI"
"WLOP   ","POULTRY LOUSE"
"WLOPH  ","POULTRY HEAD LOUSE"
"WLOPW  ","POULTRY WING LOUSE"
"WLOS   ","SUGARCANE LOOPER"
"WLOUD  ","DOGSUCKING LOUSE"
"WLPB   ","BROWN LOOPER"
"WLPE   ","LEAF-EATING LOOPER"
"WLR    ","LEAFROLLER CATERPILLAR"
"WMDB   ","BITING MIDGE"
"WMOAL  ","APPLE LOOPER MOTH"
"WMOCC1 ","CASEMAKING CLOTHES MOTH"
"WMOGLS ","GUMLEAF SKELETONISER"
"WMON   ","CAROB MOTH"
"WMOPT  ","POTATO MOTH OR TOBACCO LEAFMINER"
"WMOV2  ","VINE HAWK MOTH"
"WMOVH  ","GRAPEVINE HAWK MOTH"
"WSC7   ","SCALE - HARD"
"WSCE   ","RED SCALE"
"WSCE1  ","SCALES - HARD AND SOFT"
"WSCHP  ","SCALE ON HARDY PLANT"
"WSCQ   ","LATANIA SCALE"
"WSCS   ","SOFT BROWN SCALE"
"WSCT   ","COTTONY CUSHION SCALE"
"WSCVP  ","OLIVE PARLATORIA SCALE"
"WSCWM  ","MACADAMIA WHITE SCALE"
"WSCX   ","PINEAPPLE SCALE"
"WSF    ","SILVERFISH"
"WTEC   ","TERMITE - CRYPTOTERMES DOMESTICUS"
"WTEDW  ","WEST INDIAN DRYWOOD TERMITE"
"WTES3  ","SUBTERRANEAN TERMITE - SCHEDORHINOTERMES"
"WTH1   ","MELON THRIPS"
"WWA    ","WASP"
"WWEOS  ","BLACK VINE WEEVIL"
"WWESM  ","MANGO SEED WEEVIL"
"WWIF1  ","STRIATE FALSE WIREWORM"
"WWIFE  ","EASTERN FALSE WIREWORM"
"WWW    ","WEBWORM"
"XAACR  ","AID COMPLETE REMOVAL OF FRUIT FROM TREES"
"XAAD   ","FRUIT WAXING"
"XAAEB  ","ADVANCE/CONCENTRATE FRUIT MATURITY"
"XAAH   ","ACCELERATION OF ROOT DEVELOPMENT GROWTH"
"XAAHE  ","PROMOTE DESIRABLE HARVEST EFFECTS"
"XAAIM  ","INCREASE MULTIPLICATION RATE"
"XAAIR1 ","REGULATE VEGETATIVE GROWTH"
"XAAPRG ","PREVENTION OF REGROWTH"
"XAAR   ","RETAIN PROTEIN IN PASTURE"
"XAARF  ","REGULATE FRUITING"
"XAARG  ","REDUCE GERMINATION PERIOD"
"XACAD  ","ADHESION CONTROL"
"XACI   ","CARRIER - ULV INSECTICIDE"
"XACP   ","CONTROL OF PENETRATION"
"XANIM  ","WHITE SPOT"
"XATB   ","TURF GROWTH MANAGEMENT"
"XATU   ","GROWTH MANAGEMENT"
"XCCT   ","CRACKING & CHAPPING OF TEAT"
"XDCL   ","CREAM LINE"
"XDEFA  ","ANAEMIA"
"XDEMF  ","FATTY ACID DEFICIENCY"
"XDF1   ","DEFOLIANTS ON PLANT SURFACE"
"XDP    ","DEPOSITS (REF. TO LABEL FOR TYPE)"
"XEXC   ","COUGH SUPPRESSION"
"XFA    ","ALGICIDE"
"XNUD   ","WHITE MUSCLE DISEASE"
"XREM   ","MUSCLE RELAXANT"
"XRV    ","VAGINAL LOCAL REACTANT"
"XSAS   ","ALLERGIC SKIN IRRITATION"
"XSTR   ","RESPIRATORY STIMULANT"
"XTAS   ","PREVENTION OF SAP STAIN"
"XYAM   ","GROUPED ORCHARD MITE"
"XYGI   ","GRAIN INSECT PESTS"
"YANT3  ","ANTHRACNOSE - SEED BORNE"
"YANT6  ","ANTHRACNOSE - COLLETOTRICHUM MUSAE"
"YANT7  ","ANTHRACNOSE - COLLETOTRICHUM COCCODES"
"YART   ","RED THREAD"
"YBACM  ","BACTERIAL CANKER - C. MICHIGANENSE"
"YBAF   ","LEAF BLIGHT (A. FABAE) - SUPPRESSION"
"YBLA2  ","ASCOCHYTA BLIGHT - SUPPRESSION"
"YBLB   ","BLOSSOM BLIGHT - C. GLOEOSPOROIDES"
"YBLB1  ","BLOSSOM BLIGHT - SCLEROTINIA SPP."
"YBLIE  ","EARLY BLIGHT OR TARGET BLACKSPOT"
"YBLIL  ","LATE OR IRISH BLIGHT ON TOMATO OR POTATO"
"YBLIU  ","ASCOCHYTA BLIGHT OR BLACK STEM ON PEA"
"YBLIY1 ","CANE BLIGHT OR DIEBACK - SUPPRESSION"
"YBLOS1 ","SOOTY BLOTCH"
"YBLS   ","SEEDLING BLIGHT OR ROT"
"YBLSG  ","GUMMY STEM BLIGHT ON CUCURBIT"
"YBNB   ","NET FORM OF NET BLOTCH"
"YBR    ","BELLY ROT"
"YDAMO  ","WILT ROOTROT OR DAMPING OFF"
"YDAO2  ","DAMPING OFF"
"YDEDA  ","PHOMOPSIS CANE - DEAD ARM"
"YDEFC  ","COPPER DEFICIENCY"
"YDEFCL ","CHLORINE DEFICIENCY"
"YDEFI  ","IRON DEFICIENCY"
"YDEFP12","REDUCTION OF LYMPHOID DEPLETION "
"YDIEB  ","DIEBACK OR CANKER"
"YDISG  ","COBWEB DISEASE"
"YDPC   ","PHOMOPSIS CANE"
"YDRR   ","RHIZOME (SET) ROT"
"YDWB   ","WHITE BLISTER"
"YEXAN  ","COPPER DEFICIENCY EXANTHEMA"
"YFIRE  ","FIRE DISEASE"
"YFUN1  ","GENERAL FUNGAL DISEASE"
"YFUSS  ","FUSARIUM SPP."
"YGLO   ","GLOEOSPORIUM FRUIT ROT"
"YGUMF  ","BACTERIAL GUMMOSIS"
"YHART  ","BLACKHEART"
"YHB    ","FUSARIUM HEAD BLIGHT - SUPPRESSION"
"YLTS   ","LEPTOSPHAERULINA LEAF SPOT"
"YMELA  ","CITRUS MELANOSE"
"YMID6  ","DOWNY MILDEW - PERONOSPORA DESTRUCTOR"
"YMILD  ","POWDERY MILDEW ON CEREALS"
"YMILF  ","DOWNY MILDEW ON ROSE"
"YMILG  ","DOWNY MILDEW ON PEA"
"YMOU1  ","BLUE AND GREEN MOULDS"
"YMOUM  ","MOULD GROWTH"
"YPATB1 ","BROWN PATCH - RHIZOCTONIA SOLANI"
"YPATP  ","PINK REDTHREAD PATCH"
"YPSP   ","POD SPOT ON PEA"
"YRMT   ","MYRTLE RUST"
"YROB4  ","BLACK ROT"
"YROB7  ","BROWN ROT (BLOSSOM PHASE)- M. FRUCTICOLA"
"YROB8  ","BROWN ROT (FRUIT PHASE) - M. FRUCTICOLA"
"WMOF   ","FLOUR MOTH"
"WMOHB  ","BROWN HOUSE MOTH"
"WMOI   ","CABBAGE MOTH"
"WMOK   ","PASTURE MOTH"
"WMOLA  ","MOTH - LARVAE"
"WMOO   ","CODLING MOTH"
"WMOSL  ","LUCERNE SEED WEB MOTH"
"WMOT   ","TOBACCO MOTH"
"WMOVP  ","PAINTED VINE MOTH"
"WMOW   ","TROPICAL WAREHOUSE MOTH"
"WMSB   ","COMMON BANDED MOSQUITO"
"WMSCA  ","AUSTRALIAN HOUSE MOSQUITO"
"WMSDC  ","DOMESTIC CONTAINER MOSQUITO"
"WPLP   ","LILLY PILLY PSYLLID"
"WSC2   ","SCALE - EXCEPT SAN JOSE SCALE"
"WSCD   ","DAPHNE SCALE"
"WSCJ   ","SAN JOSE' SCALE"
"WSCN   ","MANGO SCALE"
"WSCU   ","COUCHGRASS SCALE"
"WSNS   ","NIGRA SCALE"
"WTES   ","SUBTERRANEAN TERMITE - COPTOTERMES SPP."
"WTES1  ","SUBTERRANEAN TERMITE - NASUTITERMES SPP."
"WTES5  ","SUBTERRANEAN TERMITE - C. ACINACIFORMES"
"WTIM   ","MANGO TIPBORER"
"WWE1   ","GRAIN WEEVIL"
"WWEA   ","AMNEMUS WEEVIL"
"WWEBB  ","BROAD BEAN WEEVIL"
"WWEBV  ","BROWN VEGETABLE WEEVIL"
"WWEO   ","ROUGH BROWN WEEVIL"
"WWI    ","WIREWORM"
"WWIF2  ","SOUTHERN FALSE WIREWORM"
"WWIF5  ","FALSE WIREWORM (LARVAE) GONOCEPHALUM MAC"
"WWIFA  ","FALSE WIREWORM (ADULT) - CELIBE SPP."
"WWIFL  ","FALSE WIREWORM (LARVAE) - CELIBE SPP."
"WWIS   ","SUGARCANE WIREWORM - AGRYPNUS VARIABILIS"
"WWIS1  ","SUGARCANE WIREWORM - AGRYPNUS SPP."
"WWWS   ","SOD WEBWORM"
"XAA    ","ACIDIFIER"
"XAAB   ","SPREADER SPRAY (REFER TO DIRECTIONS)"
"XAADW  ","DELAYED WATER CORE"
"XAAEA  ","INCREASE FRUIT SIZE OR HASTEN MATURITY"
"XAAER  ","DELAY OF COLOURING AND AGING OF RIND"
"XAAHS  ","STIMULATING PLANT GROWTH"
"XAAI   ","INITIATING FLOWERING"
"XAAIB  ","ENCOURAGE BIENNIAL BEARING HABIT"
"XAAIR  ","REDUCE VEGETATIVE GROWTH"
"XAAP   ","PREHARVEST DESSICATION"
"XAAPN  ","PROMOTE UNIFORM NUTFALL"
"XAASF  ","STIMULATE FLOWERING IN FOLLOWING SEASON"
"XADU   ","REDUCTION OF DUST"
"XAG    ","IRON SUPPLEMENT"
"XAIP   ","INCREASE CONTENT OF PASTURE"
"XANP   ","PLANT NUTRITION"
"XBIO   ","BIOCIDE"
"XCUTP  ","PROPOGATING CUTTINGS"
"XDCO   ","COBALT RESPONSIVE CONDITION"
"XDIA   ","DIURETIC, ACIDIFIER OR ALKALINISER"
"XDIA2  ","BODY ACID NEUTRALISER"
"XGAW   ","WOUND DRESSING"
"XGOW   ","OPEN WOUNDS - ANTIBACTERIAL"
"XHI    ","ANTIHISTAMINE"
"XHMA   ","AID MECHANICAL HARVESTING"
"XPDA   ","DESICCATION AID"
"XPDB   ","DESICCATION OF BLOSSUMS AT FLOWERING"
"XPIP   ","IMPROVE PERFORMANCE"
"XRAT   ","SUGAR CANE - RATOON CONTROL (SEE LABEL)"
"XRM    ","MILKSTONE REMOVAL"
"XYAL   ","SOIL INSECT"
"YAF    ","ALTERNARIA FRUIT ROT"
"YANT4  ","ANTHRACNOSE"
"YANTC  ","ANTHRACNOSE ON COLE CROP/BRASSSICA"
"YANTR  ","ANTHRACNOSE OR RING SPOT ON LETTUCE"
"YBL    ","LISTERIA"
"YBLAB  ","ASCOCHYTA BLIGHT - ASCOCHYTA RABIEI"
"YBLAE  ","ANTHRACNOSE, BLACKEND OR CROWN ROT"
"YBLIR  ","MYCOSPHAERELLA OR RAY BLIGHT"
"YBLIX  ","LATE CAPSICUM BLIGHT"
"YBLOS  ","SOOTY BLOTCH ON APPLE, PEAR OR CITRUS"
"YBLSF  ","BLOSSOM BLIGHT - SCLEROTINIA FRUCTICOLA"
"YBNB1  ","NET FORM OF NET BLOTCH  - SUPPRESSION "
"YBON   ","NET BLOTCH"
"YCOD   ","COUCHGRASS DECLINE"
"YCOLA  ","TERMINAL CROOK DISEASE"
"YCRC   ","CLUB ROOT OF CRUCIFERS"
"YCURL  ","LEAF CURL"
"YCYLSPP","CYLINDROCLADIUM SPP."
"YDAO3  ","DAMPING OFF FUNGI"
"YDERM  ","DERMATITIS-CAUSING ORGANISM"
"YDIQ   ","PINK DISEASE OR LIMB BLIGHT"
"YDIS   ","DISEASE"
"YDISD  ","DRY BUBBLE DISEASE ON MUSHROOM"
"YESI   ","SKIN IRRITATION"
"YEXAN1 ","EXANTHEMA"
"YFREC  ","FRECKLE OR SCAB ON STONE FRUIT"
"YFUF   ","FUNGAL DISEASES - FUSARIUM SPP."
"YFUNE  ","ECTOTROPHIC ROOT INFECTING FUNGI"
"YFURB  ","BROWN ROT FUNGUS"
"YFUSB1 ","SOIL BORNE FUNGI - REFER TO LABEL"
"YFUSBR ","SOIL BORNE FUNGI"
"YHE    ","HELMINTHOSPORIUM DISEASE"
"YITCHQ ","QUEENSLAND ITCH"
"YLEGS  ","BLACKLEG - SUPPRESSION"
"YMIBG  ","POWDERY MILDEW - BULMERIA GRAMINIS"
"YMID4  ","DOWNY MILDEW - SUPPRESSION"
"YMID5  ","DOWNY MILDEW - PERONOSPORA ARBORESCENS"
"YMILP  ","POWDERY MILDEW - OIDIUM OR ERYSIPHE SPP."
"YMIPM  ","POWDERY MILDEW - SUPPRESSION"
"YMIPO  ","POWDERY MILDEW - OIDIUM SPP."
"YMIPP  ","POWDERY MILDEW - ERYSIPHE POLYGONI"
"YMOUBK ","BLACK MOULD"
"YMOUJ  ","DOWNY MILDEW ON RHUBARB"
"YNSB   ","NUT SCAB"
"YPATR  ","RHIZOCTONIA BROWN PATCH"
"YPATT  ","TAKE-ALL PATCH"
"YPMHS  ","MACADAMIA HUSK SPOT"
"YPOST  ","POST-DIPPING LAMENESS"
"YPS    ","PEAR SPOT"
"YPY    ","PYTHIUM LEAF BLIGHT"
"YRO1   ","ROOT ROT - P. NICOTIANAE VAR. PARASITICA"
"YRODC  ","COLLAR ROT - PHYTOPHTHORA SPP."
"YROSM  ","COLLAR BLACK SPOT ROT ON PEA"
"YROT6  ","SEED ROOTROT"
"YROT8  ","FUSARIUM FRUIT ROT"
"YROTCR ","PHYTOPHORA CROWN ROT"
"YROTF  ","FOOT ROT"
"YROTP  ","PHYTOPHTHORA ROOT ROT"
"YROTT  ","STORAGE FRUIT ROT"
"YROTT1 ","PHYTOPHTHORA FRUIT ROT - PHTOPHTHORA NIC"
"ZTARH  ","DANDELION - HYPOCHAERIS GLABRA"
"ZTARO  ","DANDELION - TARAXACUM OFFICINALE"
"ZTRI6  ","WHITE CLOVER - SUPRESSION"
"ZTRIA  ","ANNUAL CLOVERS"
"ZTRIB1 ","SUBTERRANEAN CLOVER - SUPPRESSION"
"ZTRIBX ","SUBTERRANEAN CLOVER - SEEDLING"
"ZTRIT1 ","CALTROP OR YELLOW VINE - SUPPRESSION"
"ZTRPO  ","GIANT OR BLACK PIGWEED"
"ZULEE  ","FURZE OR GORSE"
"ZURTL2 ","LESSER NETTLE - PRE EMERGENT"
"ZURTY  ","SCRUB NETTLE - SEEDLING"
"ZVB1   ","NATIVE VIOLA"
"ZVER   ","SPEEDWELL"
"ZVERB1 ","PURPLE TOP - SUPPRESSION"
"ZVERO1 ","COMMON VERBENA - SUPRESSION"
"ZVERPX ","BUXBAUM'S CREEPING SPEEDWELL - SEEDLING"
"ZVICV5 ","VOLUNTEER VETCH - SUPPRESSION"
"ZVUL   ","SILVER GRASS OR RAT'S-TAIL FESCUE"
"ZWEE2  ","GENERAL WEED CONTROL"
"ZWEEBL ","BROADLEAF WEEDS - SEE LABEL"
"ZWEEG  ","GRASS WEED"
"ZWEEGL ","GRASS WEEDS - SEE LABEL"
"ZWEER  ","BROADLEAF WEEDS - SEEDLING (SEE LABEL)"
"ZWEEZ  ","ANNUAL WEED - SEEDLING"
"ZWOLD  ","GENERAL WEED - OLDER"
"ZWWI   ","WINTER GRASSES - ANNUAL"
"ZXAN3  ","NOOGOORA BURR COMPLEX - SUPPRESSION OF"
"ZYWS1  ","YELLOW WOOD SORREL - PRE EMERGENCE"
"ZZPAC  ","PRICKLY AFRICAN CUCUMBER"
"ZZSWA  ","SWAMP WEED"
"WSCGS  ","GRAPEVINE SCALE - SUPPRESSION ONLY"
"WSCQG  ","GREEDY SCALE"
"WSCR   ","ROSE SCALE"
"WSCWW  ","WHITE WAX SCALE"
"WTED   ","DRYWOOD TERMITE"
"WTHPS  ","PLAGUE THRIPS -SUPPRESSION ONLY"
"WTHT   ","TOBACCO THRIP"
"WTI    ","INSECT PEST OF TIMBER"
"WWEM   ","MAIZE WEEVIL"
"WWEU   ","FULLER'S ROSE WEEVIL"
"WWEV   ","VEGETABLE WEEVIL"
"WWIF   ","FALSE WIREWORM - CELIBE SPP."
"WWIFN  ","NORTHERN FALSE WIREWORM"
"WWIS2  ","SUGARCANE WIREWORM"
"WWWB   ","BEET WEBWORM"
"WWWW   ","WA WEBWORM - HEDNOTA SPP."
"WYM    ","YELLOW MIRID"
"XAADB  ","POST-HARVEST DIPPING: FRUIT"
"XAAEF  ","PROMOTE FRUIT TYPINESS"
"XAAL   ","LEAF GLOSSING"
"XAARP  ","REDUCE PLANT HEIGHT - GROWTH"
"XAAST  ","INCREASE STORAGE LIFE"
"XAAWA  ","WETTING AGENT (USE AS DIRECTED)"
"XABV   ","VANADIUM STAINS"
"XAGI   ","IRON & HAEMOPOIETIC AGENT"
"XALG   ","PROMOTE LATERAL ROOT GROWTH"
"XANA   ","ANALGESIC"
"XANF   ","Antifungals, antiprotozoans -"
"XANIO  ","ANTI-INFECTIVE AGENT - OTHER"
"XARB   ","PREVENT ROOT BOUND (PLANTS)"
"XDSE   ","SELENIUM RESPONSIVE CONDITION"
"XGADW  ","CUT OR WOUND DISINFECTION"
"XGANT  ","CLEAN WOUND OF NECROTIC TISSUE & DEBRIS"
"XHSO   ","SUB OESTRUS"
"XINS   ","INSECTICIDE"
"XLNU   ","LAWN FEED"
"XNUT   ","TURF NUTRITION"
"XPFR   ","PROMOTE FIBROUS ROOTS"
"XS     ","SANITISER"
"XVSA   ","STIMULATE ACUPUNCTURE POINTS"
"XYAK   ","GROUPED CITRUS SCALE"
"YANTB  ","ANTHRACNOSE ON GUAVA"
"YANTD  ","ANTHRACNOSE ON VIOLET"
"YANTP  ","ANTHRACNOSE ON PAWPAW, MANGO OR AVOCADO"
"YBAP   ","PSEUDOMONAS AERUGINOSA"
"YBAT   ","TETRACYCLINE SENSITIVE BACTERIA"
"YBLAL  ","ASCOCHYTA BLIGHT - ASCOCHYTA LENTIS"
"YBLB3  ","OVERWINTERING BLOSSOM BLIGHT & BROWN ROT"
"YBLE   ","EARLY BLIGHT"
"YBLI   ","BLIGHT"
"YBLIC  ","COMMON BLIGHT"
"YBLID  ","EARLY BLIGHT ON CELERY"
"YBLIET ","EARLY BLIGHT (TARGET SPOT)"
"YBLIH  ","HALO BLIGHT"
"YBLIJ  ","LATE BLIGHT OR LEAF SPOT"
"YBLIP  ","PETAL BLIGHT"
"YBLL1  ","LEAF BLIGHT - A. DAUCI & C. CAROTAE"
"YBLLA  ","LEAF BLIGHT"
"YBLLS  ","BLACK LEAF BLIGHT"
"YBLO1  ","NET TYPE NET BLOTCH"
"YBLO3  ","SEPTORIA TRITICI BLOTCH - S TRITICI"
"YBLO9  ","SPOT FORM NET BLOTCH - PYRENOPHORA TERES"
"YBLOP  ","PURPLE BLOTCH"
"YBLSW  ","SEPTORIA NODORUM BLOTCH ON WHEAT"
"YCATP  ","PHYTOPHTHORA STEM CANKER"
"YDEFP  ","POTASSIUM DEFICIENCY"
"YDISE  ","WET BUBBLE DISEASE ON MUSHROOM"
"YFFF   ","FRUIT FRECKLE"
"YFUSF  ","FUSARIUM SOIL FUNGUS"
"YFW    ","FUSARIUM WILT - SUPPRESSION"
"YGANG2 ","POST PARTURIENT GANGRENE"
"YHEB   ","BLACK HELMINTHOSPORIUM"
"YITCH  ","ITCHES"
"YIU    ","MASTITIS"
"YLBA   ","ALTERNARIA LEAF BLOTCH - APPLE"
"YLEGB  ","BLACKLEG ON COLE CROP/BRASSICA"
"YMID1  ","DOWNY MILDEW - PERONOSPORA SPP."
"YMID2  ","DOWNY MILDEW - PERONOSPORA FARINOSA"
"YMILA  ","DOWNY MILDEW ON COLE CROP/BRASSICA"
"YMILB  ","DOWNY MILDEW ON ALLIUM (ONION, GARLIC)"
"YMILM  ","POWDERY MILDEW ON MELON"
"YMILQ  ","POWDERY MILDEW ON CUCURBIT"
"YMILS  ","POWDERY MILDEW ON POME"
"YMOPE  ","PSUEDOCERCOSPORA"
"YMOU   ","LEAF MOULD OF TOMATO"
"YMOU3  ","SAPSTAIN MOULD"
"YMOUG  ","GREEN MOULD"
"YMOUH  ","MOULDY CORE OF POME FRUIT"
"YMOUS  ","SOOTY MOULD"
"YMOUSS ","PENICILLIUM SPP."
"YMOUT  ","BLUE MOULD ON TOBACCO"
"YPATF1 ","FUSARIUM PATCH"
"YPIB   ","BLACK PIT"
"YPYL   ","PYTHIUM LEAF SPOT"
"YPYR   ","PYTHIUM ROOT ROT"
"YRO2   ","FRUIT ROT OR SPOT"
"YRO4   ","ROOT ROT - PHYTOPHTHORA SPP."
"YRO6   ","WHITE ROOT ROT"
"YROB3  ","BROWN ROT"
"YROD1  ","COLLAR ROT - PHYTOPHTHORA NICOTIANAE"
